genus,species,catalog_number,field_number,specimen,weight(g),sl(mm),body_width,caudal_peduncle_width,hanging_photos,lateral_photos,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,15,36.9,139.96,16.15,2.56,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,16,49,156.93,17.55,3.14,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,17,37.9,143.01,16.22,2.66,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,18,34.5,134.31,15.15,2.7,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,19,51.1,155.91,17.21,2.78,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,20,26.6,125.42,13.16,1.92,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,21,,,,,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,22,31.9,128.37,16.22,2.77,,Img0096,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,23,43.1,150.01,16.05,2.86,,Img0098,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,24,41.5,146.32,17.2,3.04,,Img0099,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,25,58.7,157.91,19.97,2.79,,Img0100,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,26,50.7,150.44,18.56,3.06,,Img0101,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,27,40.9,140.52,16.21,3.36,,Img0102,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,28,17.6,99.26,14.48,2.35,,Img0103,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,29,26,121.06,14.15,2.45,,Img0104,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,30,40.5,142.46,16.64,2.67,,Img0105,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,31,29.4,126.97,14.57,2.63,,Img0106,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,32,30.1,130.78,15.56,3.08,,Img0107,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,33,29.7,130.73,14.76,2.93,,Img0108,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,34,39.8,140.1,17.08,2.83,,Img0109,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,35,22.7,118.13,14.66,2.27,,Img0110,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,36,24.1,126.69,14.87,2.68,,Img0111,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,37,41,142.68,16.96,2.76,,Img0112,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,38,44.1,147.1,16.7,2.91,,Img0113,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,39,41.7,149.86,16.93,3.02,,Img0114,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,40,26.1,122.01,14.08,2.51,,Img0115,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,41,39.3,146.62,15.49,3.3,,Img0116,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,42,45.5,147.4,15.83,3.15,,Img0117,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,43,29.3,128.33,15.82,2.52,,Img0118,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,44,35.8,134.98,16.12,3.27,,Img0119,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,45,26.5,123.56,15.51,2.62,,Img0120,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,46,29.4,126.93,14.33,3.12,,Img0121,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,47,24.3,119.22,14.73,2.421,,Img0122,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,48,9.5,84.37,11.02,1.99,,Img0123,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,49,37.3,137.62,15.23,2.81,,Img0124,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,50,7,78.84,9.88,2.11,,Img0125,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,51,11.1,88.05,10.38,2.01,,Img0126,
